shipment_id,order_id,carrier,shipping_cost,delivery_days,status
66,41058,ViettelPost,26700,9,Delivered
67,49136,DHL,62100,4,Late
68,26011,J&T,68800,1,Delivered
69,11854,ViettelPost,50800,2,Delivered
70,91206,GHN,81400,3,Delivered
71,26752,DHL,41300,7,Delivered
72,19607,DHL,71700,8,Delivered
73,80756,J&T,62700,4,Late
74,12478,J&T,56100,9,Delivered
75,29575,GHN,29800,6,Delivered
76,21974,J&T,51600,4,Delivered
77,49542,J&T,61200,8,Delivered
78,54316,DHL,-8200,7,Delivered
79,46049,GHN,78100,4,Delivered
80,41370,GHN,77700,3,Delivered
81,93122,DHL,46900,9,Delivered
82,44649,ViettelPost,73300,9,Delivered
83,77366,J&T,58800,5,Delivered
84,78189,DHL,58100,9,Delivered
85,60876,J&T,63300,1,Delivered
86,12385,DHL,56600,1,Delivered
87,76520,ViettelPost,50000,5,Lost
88,81019,J&T,62600,5,Late
89,67066,DHL,70100,3,Delivered
90,44275,DHL,22700,2,Delivered
91,80635,ViettelPost,74900,8,Delivered
92,89675,DHL,70000,2,Delivered
93,12539,J&T,43600,4,Delivered
94,96526,ViettelPost,42300,1,Delivered
95,80666,GHN,27100,3,Delivered
96,77551,GHN,41400,6,Delivered
97,99832,GHN,38000,4,Delivered
98,80519,DHL,42500,2,Delivered
99,14217,DHL,47400,1,Delivered
100,13800,DHL,62200,8,Delivered
101,21117,GHN,54400,3,Delivered
102,89863,GHN,50700,6,Late
103,7491,GHN,32500,7,Delivered
104,39361,ViettelPost,71400,8,Delivered
105,91738,ViettelPost,72600,9,Delivered
106,13450,GHN,74100,8,Delivered
107,97434,ViettelPost,95000,5,Delivered
108,49813,GHN,55300,3,Delivered
109,2719,J&T,61400,3,Delivered
110,75034,ViettelPost,27200,2,Delivered
111,19855,DHL,23200,5,Delivered
112,60666,DHL,40100,2,Delivered
113,83307,ViettelPost,29100,2,Delivered
114,77392,ViettelPost,33400,5,Delivered
115,62484,DHL,66500,5,Delivered
116,89935,ViettelPost,70700,1,Delivered
117,73486,GHN,24900,2,Delivered
118,98199,GHN,75800,3,Delivered
119,82530,J&T,37900,4,Delivered
120,82986,J&T,52900,3,Late
121,83704,ViettelPost,56200,6,Late
122,73114,J&T,41300,3,Delivered
123,88243,GHN,62700,3,Delivered
124,96343,J&T,59000,7,Late
125,93774,DHL,50100,1,Delivered
126,90576,DHL,51800,2,Delivered
127,53643,GHN,97800,1,Delivered
128,85954,DHL,38700,5,Delivered
129,58911,GHN,13200,5,Delivered
130,2477,ViettelPost,64200,7,Delivered
131,68477,GHN,79000,4,Delivered
132,40087,J&T,40600,6,Delivered
133,8761,DHL,35500,5,Delivered
134,5214,DHL,47900,1,Delivered
135,47831,GHN,50000,5,Delivered
136,41037,DHL,40200,8,Delivered
137,64344,ViettelPost,24700,8,Delivered
138,37541,DHL,56200,8,Delivered
139,29450,DHL,52800,5,Delivered
140,68588,J&T,56500,7,Delivered
141,6770,GHN,61900,7,Lost
142,52921,DHL,71900,4,Delivered
143,46206,GHN,17800,9,Late
144,53081,J&T,59700,2,Delivered
145,7608,GHN,45600,4,Delivered
146,49155,J&T,53900,1,Late
147,67569,ViettelPost,46700,8,Delivered
148,14678,DHL,66600,7,Delivered
149,8604,DHL,59200,7,Delivered
150,6996,J&T,61300,5,Delivered
151,23199,GHN,55200,1,Delivered
152,1404,GHN,49000,8,Lost
153,55903,DHL,49400,5,Late
154,83729,GHN,64100,7,Delivered
155,74911,DHL,56000,6,Delivered
156,38750,ViettelPost,60500,7,Delivered
157,38633,GHN,25600,1,Delivered
158,75446,GHN,45500,9,Delivered
159,81648,GHN,87500,6,Delivered
160,5728,ViettelPost,55100,5,Delivered
161,52040,J&T,45000,8,Delivered
162,88506,ViettelPost,30300,9,Delivered
163,54458,ViettelPost,72100,2,Late
164,38710,GHN,35000,8,Delivered
165,2044,GHN,54300,9,Late
166,69265,J&T,51200,2,Lost
167,91160,DHL,37400,1,Late
168,42494,DHL,46900,7,Delivered
169,7088,ViettelPost,27800,6,Delivered
170,44860,DHL,49300,7,Late
171,90815,ViettelPost,49100,5,Late
172,27489,ViettelPost,52900,8,Delivered
173,49500,DHL,64200,7,Delivered
174,68288,DHL,74300,8,Delivered
175,65122,ViettelPost,41800,9,Delivered
176,8185,DHL,62200,3,Delivered
177,93489,DHL,42500,9,Late
178,99379,ViettelPost,77800,6,Late
179,27146,GHN,50200,8,Late
180,97733,ViettelPost,51300,5,Delivered
181,97180,J&T,61600,9,Delivered
182,15367,J&T,60300,2,Delivered
183,86964,DHL,35700,4,Delivered
184,27590,GHN,27800,2,Delivered
185,2141,DHL,47700,9,Delivered
186,29783,ViettelPost,22000,7,Delivered
187,59207,DHL,45100,7,Delivered
188,14998,GHN,36200,2,Delivered
189,35358,J&T,53700,-1,Delivered
190,99602,GHN,74200,2,Delivered
191,86875,GHN,87200,4,Delivered
192,78437,ViettelPost,28300,7,Delivered
193,81104,ViettelPost,69900,6,Delivered
194,77472,DHL,44000,8,Delivered
195,72735,GHN,17900,2,Delivered
196,32825,DHL,17400,2,Delivered
197,83527,ViettelPost,-3800,4,Delivered
198,69281,GHN,71500,8,Delivered
199,57043,GHN,59000,3,Delivered
200,22192,DHL,71900,1,Delivered
201,327,DHL,18400,8,Delivered
202,52988,DHL,55300,-1,Delivered
203,48225,J&T,51600,5,Delivered
204,2281,J&T,62900,6,Delivered
205,80725,J&T,52300,4,Delivered
206,63033,J&T,33100,5,Late
207,28718,GHN,22100,6,Delivered
208,76219,GHN,46100,2,Delivered
209,48234,ViettelPost,60700,5,Delivered
210,86126,ViettelPost,22400,3,Delivered
211,77113,J&T,53500,1,Delivered
212,23918,J&T,72000,6,Late
213,72373,J&T,51500,4,Delivered
214,94554,DHL,56700,2,Late
215,2803,J&T,45500,3,Delivered
216,13561,DHL,85900,1,Late
217,42100,GHN,55200,3,Delivered
218,58776,J&T,84200,8,Delivered
219,67573,ViettelPost,27400,3,Delivered
220,83679,GHN,55000,2,Delivered
221,74205,ViettelPost,58700,9,Delivered
222,61679,J&T,65000,3,Delivered
223,58421,J&T,85100,8,Delivered
224,66502,ViettelPost,72600,8,Delivered
225,61527,GHN,43700,1,Late
226,49217,GHN,69100,1,Delivered
227,10542,GHN,10500,8,Delivered
228,33046,DHL,61000,7,Delivered
229,42791,J&T,35100,3,Delivered
230,51095,GHN,19600,3,Delivered
231,54631,J&T,47300,5,Delivered
232,27018,ViettelPost,37500,9,Delivered
233,99666,J&T,38700,9,Delivered
234,91837,J&T,61200,8,Delivered
235,18478,GHN,35800,2,Late
236,9819,ViettelPost,54600,4,Delivered
237,40242,J&T,49400,1,Delivered
238,92965,ViettelPost,22900,5,Delivered
239,76982,J&T,70200,5,Delivered
240,42018,GHN,47900,3,Delivered
241,29266,GHN,55100,8,Delivered
242,11484,DHL,33900,1,Delivered
243,9764,ViettelPost,37400,6,Late
244,20672,ViettelPost,44900,7,Delivered
245,38134,GHN,58300,9,Delivered
246,13360,J&T,57000,3,Delivered
247,54358,J&T,51500,9,Delivered
248,12659,DHL,36200,8,Delivered
249,58042,GHN,51500,4,Delivered
250,77995,DHL,43300,1,Delivered
251,42628,GHN,61800,6,Delivered
252,57795,J&T,71700,2,Delivered
253,65709,J&T,37300,5,Late
254,88689,ViettelPost,69100,6,Delivered
255,9350,ViettelPost,61400,7,Delivered
256,36751,ViettelPost,12800,9,Delivered
257,81888,DHL,46200,3,Delivered
258,10717,J&T,51700,3,Delivered
259,84879,J&T,50800,7,Delivered
260,23099,ViettelPost,68400,2,Delivered
261,30992,ViettelPost,44600,4,Delivered
262,43258,DHL,37200,4,Delivered
263,68703,J&T,51200,6,Delivered
264,39755,DHL,53200,1,Delivered
265,81845,J&T,45900,9,Delivered
266,48050,J&T,23500,3,Delivered
267,11749,J&T,73300,5,Delivered
268,38777,ViettelPost,46000,2,Delivered
269,1167,DHL,20900,6,Delivered
270,46757,DHL,-1900,7,Late
271,38788,DHL,50900,5,Delivered
272,72569,J&T,67300,7,Delivered
273,69401,J&T,80900,9,Delivered
274,17562,GHN,72300,6,Delivered
275,4955,ViettelPost,77000,7,Delivered
276,51394,ViettelPost,61800,4,Delivered
277,23450,ViettelPost,60300,4,Delivered
278,64925,DHL,55400,6,Delivered
279,52875,DHL,37100,4,Late
280,70775,GHN,59300,4,Delivered
281,28130,GHN,61000,1,Delivered
282,3629,GHN,7800,8,Delivered
283,86291,GHN,59200,-1,Delivered
284,39603,ViettelPost,51800,7,Delivered
285,79183,J&T,38300,9,Delivered
286,39587,ViettelPost,34400,7,Delivered
287,58390,DHL,47900,8,Delivered
288,37907,ViettelPost,17600,1,Delivered
289,60052,ViettelPost,37500,7,Delivered
290,3364,ViettelPost,79800,3,Delivered
291,22823,GHN,61600,7,Delivered
292,75577,GHN,52500,6,Delivered
293,32608,DHL,36000,3,Delivered
294,53273,J&T,65300,6,Delivered
295,74829,GHN,75700,4,Delivered
296,27324,J&T,65500,8,Delivered
297,86275,J&T,62800,8,Late
298,97432,J&T,74200,9,Delivered
299,97685,J&T,47300,4,Delivered
300,19850,GHN,-100,4,Delivered
301,54692,DHL,65300,5,Delivered
302,54284,J&T,47500,7,Delivered
303,17052,DHL,59200,1,Delivered
304,28576,ViettelPost,98600,9,Delivered
305,55939,GHN,72700,6,Delivered
306,60886,DHL,31400,9,Lost
307,67361,J&T,40400,3,Delivered
308,89914,ViettelPost,36800,2,Delivered
309,92580,GHN,45800,5,Delivered
310,3400,J&T,76100,5,Delivered
311,38682,ViettelPost,6400,1,Delivered
312,87943,GHN,37000,5,Delivered
313,57720,GHN,74200,7,Delivered
314,71659,J&T,9300,7,Delivered
315,83758,DHL,41300,4,Delivered
316,10147,ViettelPost,68600,5,Delivered
317,41065,DHL,44900,3,Delivered
318,14252,ViettelPost,9200,1,Delivered
319,77376,J&T,42200,3,Delivered
320,51033,DHL,26000,6,Delivered
321,41974,J&T,60100,4,Delivered
322,15985,DHL,66100,9,Delivered
323,3229,ViettelPost,46300,2,Delivered
324,97632,J&T,47900,6,Delivered
325,62579,J&T,67100,6,Delivered
326,97177,ViettelPost,78500,9,Delivered
327,86185,GHN,35300,8,Delivered
328,49864,GHN,41700,1,Delivered
329,19466,ViettelPost,24600,8,Delivered
330,32377,GHN,32900,1,Delivered
331,59826,J&T,59500,2,Delivered
332,10916,DHL,32300,3,Late
333,45384,J&T,63400,8,Delivered
334,44473,ViettelPost,52200,4,Delivered
335,92012,DHL,62200,2,Delivered
336,15466,J&T,58600,5,Late
337,34121,ViettelPost,44300,8,Delivered
338,29699,GHN,67900,9,Delivered
339,79949,ViettelPost,39800,3,Delivered
340,87417,GHN,51000,1,Delivered
341,89784,GHN,66200,7,Delivered
342,40360,GHN,63700,4,Late
343,5593,DHL,43200,6,Delivered
344,15395,ViettelPost,24400,2,Delivered
345,85696,ViettelPost,56500,8,Delivered
346,33665,ViettelPost,37600,7,Delivered
347,91076,GHN,42300,2,Delivered
348,35695,GHN,73800,2,Delivered
349,66890,DHL,59800,7,Delivered
350,13116,J&T,73200,2,Late
351,59823,ViettelPost,55300,2,Delivered
352,30215,DHL,80200,9,Delivered
353,86142,J&T,29000,6,Delivered
354,65825,DHL,56000,5,Delivered
355,82551,J&T,42500,2,Delivered
356,25269,ViettelPost,23100,-1,Delivered
357,10668,J&T,67800,1,Delivered
358,3168,J&T,84800,3,Delivered
359,7827,ViettelPost,28600,7,Delivered
360,28575,J&T,63600,7,Delivered
361,80390,DHL,48700,4,Delivered
362,4048,J&T,60500,4,Delivered
363,52913,DHL,59200,3,Delivered
364,40484,J&T,81600,8,Delivered
365,59630,GHN,25400,1,Delivered
366,31268,ViettelPost,73500,2,Delivered
367,27094,DHL,62000,3,Delivered
368,82306,GHN,61500,3,Delivered
369,24812,DHL,27300,3,Late
370,19151,J&T,23400,1,Delivered
371,61591,DHL,60300,6,Delivered
372,96418,GHN,61600,4,Delivered
373,29697,J&T,36400,2,Delivered
374,44575,GHN,59300,4,Delivered
375,17036,ViettelPost,24400,8,Delivered
376,34550,GHN,43400,2,Delivered
377,58250,GHN,20100,4,Late
378,15642,J&T,74000,4,Delivered
379,51282,GHN,11100,9,Delivered
380,6734,DHL,52600,1,Delivered
381,78734,ViettelPost,47700,2,Delivered
382,79033,GHN,51900,2,Delivered
383,9683,DHL,70500,9,Delivered
384,24222,GHN,46900,4,Delivered
385,97238,J&T,14900,1,Delivered
386,79573,DHL,76800,3,Delivered
387,54216,ViettelPost,39000,4,Delivered
388,70384,DHL,44800,4,Delivered
389,85566,ViettelPost,65400,2,Delivered
390,11417,J&T,43500,5,Delivered
391,2764,DHL,34500,1,Delivered
392,25989,DHL,45700,2,Delivered
393,2233,DHL,25800,1,Delivered
394,42023,GHN,63100,2,Delivered
395,36170,ViettelPost,23900,1,Delivered
396,65724,ViettelPost,28100,7,Delivered
397,45429,GHN,35800,3,Delivered
398,23670,ViettelPost,47100,8,Delivered
399,48973,DHL,37100,4,Delivered
400,38699,GHN,41600,3,Delivered
401,12162,ViettelPost,74200,8,Delivered
402,11352,ViettelPost,58400,8,Delivered
403,16069,J&T,47900,8,Delivered
404,19173,ViettelPost,75800,3,Delivered
405,25054,DHL,71600,8,Delivered
406,28074,ViettelPost,42300,4,Delivered
407,66835,GHN,39500,1,Delivered
408,3731,ViettelPost,74000,1,Lost
409,986,J&T,54200,1,Delivered
410,88765,ViettelPost,43200,1,Delivered
411,25727,ViettelPost,21100,5,Delivered
412,243,ViettelPost,65700,1,Delivered
413,25785,GHN,16000,9,Delivered
414,26098,J&T,87500,1,Delivered
415,98500,GHN,40000,9,Late
416,53813,GHN,27400,9,Delivered
417,8989,GHN,45600,5,Delivered
418,8860,ViettelPost,50700,7,Late
419,98861,J&T,6600,2,Delivered
420,63818,ViettelPost,48200,3,Delivered
421,3070,J&T,24600,3,Late
422,12618,J&T,46000,7,Delivered
423,99746,ViettelPost,56300,6,Late
424,29549,GHN,41700,7,Delivered
425,99658,GHN,40200,9,Delivered
426,9257,J&T,48100,7,Delivered
427,23468,GHN,41100,3,Delivered
428,44518,DHL,44500,9,Delivered
429,96215,ViettelPost,47900,6,Late
430,80035,J&T,54500,6,Delivered
431,46368,J&T,68600,9,Delivered
432,74305,ViettelPost,74400,6,Delivered
433,27260,GHN,47400,9,Late
434,16657,ViettelPost,52500,2,Delivered
435,20049,ViettelPost,52600,1,Delivered
436,43562,DHL,60700,2,Delivered
437,5677,DHL,43700,2,Delivered
438,95843,GHN,42500,-1,Late
439,97912,GHN,42800,6,Delivered
440,53462,ViettelPost,44700,5,Delivered
441,8466,J&T,74700,9,Delivered
442,20075,J&T,21400,5,Delivered
443,79344,DHL,58900,1,Delivered
444,13389,GHN,34000,3,Delivered
445,39286,ViettelPost,72800,7,Late
446,20656,ViettelPost,60200,7,Delivered
447,29497,ViettelPost,33100,6,Delivered
448,24045,GHN,60000,2,Delivered
449,28147,GHN,52700,3,Delivered
450,33487,ViettelPost,26600,6,Delivered
451,45782,J&T,50200,1,Delivered
452,90094,DHL,72600,4,Delivered
453,62375,GHN,51900,5,Delivered
454,72274,ViettelPost,51900,4,Delivered
455,76431,ViettelPost,33400,4,Delivered
456,32254,GHN,20300,5,Delivered
457,6853,ViettelPost,26200,9,Late
458,8482,DHL,58500,3,Delivered
459,34944,ViettelPost,55900,6,Delivered
460,80280,DHL,57100,2,Delivered
461,94607,J&T,73700,7,Delivered
462,62663,J&T,55700,5,Late
463,3879,J&T,38100,3,Late
464,58130,J&T,50200,2,Delivered
465,91636,DHL,42300,2,Delivered
466,82496,J&T,40000,5,Delivered
467,74314,ViettelPost,66800,4,Delivered
468,99174,ViettelPost,52300,9,Delivered
469,47331,GHN,36700,4,Delivered
470,93539,GHN,84100,1,Delivered
471,69973,J&T,64900,9,Delivered
472,44321,GHN,79100,3,Delivered
473,557,GHN,47800,1,Delivered
474,18835,GHN,35200,1,Delivered
475,88787,GHN,22400,9,Late
476,96095,J&T,40300,7,Delivered
477,89056,DHL,73600,9,Delivered
478,77619,ViettelPost,74400,5,Delivered
479,11798,ViettelPost,41100,8,Delivered
480,28258,ViettelPost,40200,7,Delivered
481,57061,J&T,29700,7,Delivered
482,79670,J&T,75500,7,Late
483,71068,DHL,34000,6,Late
484,98054,GHN,28300,6,Delivered
485,10168,DHL,52100,7,Delivered
486,35837,GHN,17600,9,Late
487,73320,ViettelPost,42000,9,Late
488,99056,J&T,41700,7,Delivered
489,67146,J&T,32000,5,Delivered
490,76643,ViettelPost,81700,9,Delivered
491,50284,DHL,49500,8,Late
492,85031,ViettelPost,59500,9,Late
493,65212,ViettelPost,76000,4,Delivered
494,28493,GHN,56100,8,Delivered
495,82505,J&T,21700,1,Delivered
496,6428,GHN,56700,1,Delivered
497,85590,J&T,62000,5,Delivered
498,38855,J&T,62600,4,Delivered
499,32332,ViettelPost,61000,4,Delivered
500,56873,DHL,57200,8,Delivered
501,87618,DHL,49400,9,Late
502,19621,DHL,44200,3,Delivered
503,44682,DHL,71600,9,Lost
504,35352,GHN,42200,2,Delivered
505,87959,ViettelPost,101700,6,Delivered
506,83489,J&T,26000,7,Delivered
507,81529,GHN,77400,3,Delivered
508,42075,ViettelPost,37400,2,Delivered
509,53293,DHL,68400,2,Late
510,83365,GHN,30200,5,Delivered
511,2087,GHN,84900,1,Delivered
512,47910,DHL,52800,8,Delivered
513,72334,ViettelPost,52000,8,Delivered
514,87546,DHL,31700,2,Lost
515,78134,GHN,58900,9,Delivered
516,96263,GHN,18800,8,Delivered
517,47890,GHN,57800,1,Delivered
518,98592,ViettelPost,98200,6,Delivered
519,36255,J&T,66200,3,Late
520,73185,GHN,47800,3,Delivered
521,65815,ViettelPost,91800,5,Delivered
522,81441,DHL,53500,5,Delivered
523,74915,GHN,13800,8,Late
524,47236,ViettelPost,48200,6,Delivered
525,37044,J&T,44000,7,Delivered
526,74541,DHL,33600,3,Delivered
527,37425,ViettelPost,60600,2,Delivered
528,45084,ViettelPost,54400,3,Delivered
529,32931,GHN,32900,2,Delivered
530,11276,GHN,-100,1,Delivered
531,66118,J&T,44500,2,Late
532,37303,J&T,26300,6,Delivered
533,35973,ViettelPost,54400,5,Late
534,64688,DHL,63600,-1,Late
535,13189,ViettelPost,38200,3,Delivered
536,77245,J&T,35100,6,Delivered
537,87256,GHN,18700,1,Delivered
538,9954,GHN,46200,1,Delivered
539,8011,DHL,41000,7,Delivered
540,47440,ViettelPost,30100,9,Delivered
541,37304,J&T,18400,4,Delivered
542,97370,GHN,34000,9,Delivered
543,27616,J&T,35700,7,Delivered
544,55647,J&T,76300,1,Delivered
545,67808,J&T,46100,8,Delivered
546,18114,DHL,72400,3,Late
547,97616,J&T,88200,4,Delivered
548,51552,GHN,62400,5,Late
549,25410,DHL,23800,3,Delivered
550,78477,GHN,59300,3,Delivered
551,81747,DHL,64400,7,Delivered
552,1677,J&T,38400,1,Late
553,60904,ViettelPost,71000,5,Delivered
554,60799,J&T,58300,5,Delivered
555,92944,J&T,31700,9,Delivered
556,25780,J&T,69600,9,Delivered
557,16600,GHN,43000,9,Delivered
558,86450,ViettelPost,64700,6,Delivered
559,34529,ViettelPost,61400,6,Late
560,7813,J&T,35700,2,Delivered
561,36984,J&T,33900,3,Lost
562,25697,GHN,62700,8,Delivered
563,43818,ViettelPost,71100,9,Delivered
564,58027,ViettelPost,38700,6,Delivered
565,80721,GHN,54900,3,Delivered
566,79496,ViettelPost,23600,1,Late
567,27836,ViettelPost,62900,7,Delivered
568,89011,DHL,38300,2,Delivered
569,51924,ViettelPost,32300,8,Late
570,21320,ViettelPost,59600,4,Delivered
571,37364,GHN,61900,2,Delivered
572,88656,DHL,30200,2,Delivered
573,99855,GHN,82000,5,Delivered
574,99722,DHL,46500,3,Delivered
575,8263,DHL,35800,1,Late
576,57634,ViettelPost,82200,8,Delivered
577,15389,J&T,25800,7,Delivered
578,25508,ViettelPost,49200,8,Delivered
579,72400,J&T,51900,1,Delivered
580,86237,GHN,31100,7,Delivered
581,12202,J&T,39800,3,Late
582,99048,J&T,11300,7,Delivered
583,71267,ViettelPost,48900,2,Delivered
584,50165,ViettelPost,27500,1,Delivered
585,97840,J&T,54600,8,Delivered
586,7695,ViettelPost,64700,2,Delivered
587,2582,ViettelPost,59900,4,Delivered
588,78829,J&T,38600,5,Delivered
589,27942,DHL,38400,9,Delivered
590,82347,J&T,72400,7,Delivered
591,19824,DHL,19400,4,Late
592,508,DHL,49400,5,Late
593,73335,ViettelPost,72300,3,Delivered
594,54292,ViettelPost,61900,-1,Delivered
595,56191,ViettelPost,68500,7,Delivered
596,22069,DHL,42000,3,Delivered
597,88974,ViettelPost,50500,1,Delivered
598,43187,ViettelPost,18300,3,Delivered
599,26456,GHN,55400,5,Delivered
600,87472,DHL,41900,9,Delivered
601,23897,J&T,104300,7,Delivered
602,4676,ViettelPost,68900,8,Delivered
603,51828,GHN,58300,7,Delivered
604,80903,ViettelPost,32800,2,Late
605,56251,GHN,65700,5,Delivered
606,99544,DHL,37700,3,Delivered
607,33968,J&T,30900,8,Delivered
608,50813,DHL,67300,9,Delivered
609,76081,DHL,43900,5,Late
610,18950,DHL,51400,8,Delivered
611,92695,ViettelPost,36500,2,Delivered
612,41614,J&T,41700,6,Late
613,86220,DHL,13700,6,Delivered
614,23677,J&T,22800,4,Delivered
615,54763,J&T,41700,9,Delivered
616,87239,ViettelPost,45000,5,Delivered
617,10205,J&T,70400,5,Delivered
618,26344,ViettelPost,42800,4,Late
619,9497,J&T,77000,3,Delivered
620,71571,J&T,46900,8,Delivered
621,81263,ViettelPost,44800,5,Delivered
622,20383,J&T,52500,4,Lost
623,25164,J&T,52600,6,Delivered
624,58183,J&T,78100,1,Delivered
625,17275,DHL,1100,-1,Delivered
626,84826,GHN,27100,6,Delivered
627,62380,DHL,29300,1,Delivered
628,97347,DHL,55200,2,Lost
629,46579,J&T,61400,3,Delivered
630,91507,GHN,47400,3,Delivered
631,84113,J&T,17900,3,Delivered
632,28919,DHL,44700,2,Delivered
633,25283,DHL,45600,4,Delivered
634,31263,DHL,38000,9,Delivered
635,87344,J&T,25700,7,Delivered
636,51998,ViettelPost,49900,1,Delivered
637,73544,GHN,40900,2,Delivered
638,48584,ViettelPost,54000,3,Delivered
639,45912,J&T,55200,2,Delivered
640,41565,GHN,31900,4,Delivered
641,82324,GHN,69100,6,Delivered
642,72226,ViettelPost,82800,5,Delivered
643,68015,DHL,56800,2,Delivered
644,44804,ViettelPost,43200,5,Delivered
645,14116,ViettelPost,39300,4,Delivered
646,21326,GHN,23200,5,Delivered
647,47269,J&T,25900,6,Delivered
648,65681,J&T,38400,1,Delivered
649,49096,ViettelPost,71900,3,Delivered
650,89572,ViettelPost,95300,5,Delivered
651,549,GHN,14700,5,Late
652,21209,GHN,40500,3,Delivered
653,86363,GHN,60100,1,Delivered
654,63974,DHL,13700,5,Lost
655,48579,ViettelPost,39900,8,Delivered
656,98469,DHL,46000,6,Delivered
657,15648,GHN,43800,3,Delivered
658,74395,J&T,68300,5,Delivered
659,8426,GHN,87700,4,Late
660,15721,J&T,56300,7,Delivered
661,69438,J&T,44000,1,Delivered
662,8674,GHN,35400,8,Delivered
663,2975,DHL,73100,3,Late
664,49991,DHL,56100,8,Delivered
665,87926,DHL,60900,4,Delivered
666,1946,J&T,33500,6,Delivered
667,89681,ViettelPost,43200,4,Delivered
668,17433,GHN,14500,9,Delivered
669,36025,DHL,40300,1,Delivered
670,92200,J&T,75300,7,Delivered
671,64671,ViettelPost,42400,8,Delivered
672,31256,J&T,59500,4,Delivered
673,87807,DHL,35800,3,Delivered
674,94300,DHL,34700,8,Delivered
675,80927,ViettelPost,60900,9,Delivered
676,79139,J&T,46600,6,Delivered
677,32290,GHN,69400,4,Late
678,30054,GHN,59000,1,Delivered
679,58371,J&T,95100,4,Lost
680,31366,J&T,22200,3,Delivered
681,59202,GHN,104600,3,Late
682,2737,J&T,81400,9,Delivered
683,68920,DHL,60100,6,Late
684,97444,GHN,76400,8,Delivered
685,61054,J&T,7800,-1,Delivered
686,61070,GHN,60000,6,Lost
687,78524,ViettelPost,84700,3,Delivered
688,12984,DHL,67700,8,Delivered
689,36548,DHL,75900,9,Delivered
690,3131,ViettelPost,47400,6,Delivered
691,61703,ViettelPost,69700,2,Delivered
692,29226,J&T,69300,4,Delivered
693,4747,ViettelPost,48000,2,Delivered
694,14547,GHN,83100,3,Delivered
695,99915,GHN,38200,8,Delivered
696,83445,GHN,51100,5,Delivered
697,56745,GHN,39200,9,Delivered
698,2857,ViettelPost,48900,3,Delivered
699,79183,DHL,95500,3,Late
700,58239,DHL,45700,7,Delivered
701,20709,GHN,61300,2,Delivered
702,69619,ViettelPost,58300,1,Delivered
703,38264,ViettelPost,82600,3,Delivered
704,86938,J&T,32000,4,Late
705,6322,GHN,51500,4,Delivered
706,64242,ViettelPost,29600,2,Delivered
707,57719,GHN,50200,1,Delivered
708,12939,ViettelPost,47300,7,Delivered
709,53192,ViettelPost,43500,5,Delivered
710,22144,J&T,18000,7,Delivered
711,10230,GHN,32500,1,Delivered
712,53322,GHN,59200,8,Delivered
713,31574,DHL,66900,8,Delivered
714,6253,DHL,53200,8,Delivered
