warehouse_id,product_id,stock_level,last_updated
6,1304,573,12/02/2024
8,592,191,10/06/2024
1,312,441,07/20/2024
10,3635,697,04/19/2024
1,1941,26,11/29/2024
9,3531,378,01/22/2024
13,4938,194,04/27/2024
4,1257,356,10/17/2024
18,4041,200,05/08/2024
11,387,722,06/14/2024
19,2821,928,07/08/2024
2,1335,44,12/11/2024
2,3326,434,01/15/2024
15,2841,388,01/30/2024
9,609,238,08/04/2024
2,3951,934,02/08/2024
11,4782,681,07/28/2024
16,2881,752,04/03/2024
4,59,224,07/12/2024
12,4749,688,12/07/2024
12,2531,332,02/06/2024
15,1271,616,11/07/2024
15,1132,378,05/01/2024
2,4095,884,06/10/2024
2,4949,171,05/09/2024
3,3047,778,01/26/2024
11,3909,109,03/07/2024
1,2626,606,10/25/2024
10,457,91,08/15/2024
4,4550,222,01/16/2024
10,690,517,01/10/2024
16,3340,123,05/27/2024
18,1403,293,12/07/2024
2,4038,958,11/15/2024
17,4934,643,08/11/2024
18,3247,41,04/11/2024
8,966,193,06/25/2024
16,893,384,10/04/2024
9,3472,552,04/10/2024
9,3719,785,09/08/2024
19,2598,0,01/06/2024
5,4418,673,11/01/2024
16,1903,694,06/19/2024
11,936,763,10/04/2024
9,2666,388,01/24/2024
17,2743,258,04/09/2024
6,683,723,01/09/2024
3,1492,391,11/12/2024
3,4093,636,09/19/2024
13,4757,983,06/19/2024
11,357,233,08/04/2024
1,900,258,07/15/2024
5,2921,542,07/28/2024
4,4188,29,08/16/2024
11,4188,655,01/20/2024
14,3502,473,01/06/2024
3,3307,856,10/23/2024
5,2268,557,06/13/2024
6,1428,834,12/20/2024
10,397,459,07/07/2024
2,1128,827,03/14/2024
6,1645,287,09/02/2024
1,890,312,01/12/2024
6,4727,426,06/21/2024
14,1664,738,05/30/2024
11,1266,214,06/01/2024
15,2386,203,09/04/2024
10,2710,378,01/30/2024
2,1746,371,09/05/2024
13,117,866,06/08/2024
13,2934,536,06/21/2024
8,1420,611,05/14/2024
1,2349,319,11/18/2024
18,553,742,03/06/2024
12,724,720,03/01/2024
15,1341,90,01/21/2024
1,3444,732,10/25/2024
1,3869,427,05/09/2024
12,1807,422,08/22/2024
9,3571,776,11/14/2024
10,3075,976,08/18/2024
6,4482,599,12/11/2024
10,864,668,02/09/2024
10,659,489,04/08/2024
6,2128,203,08/02/2024
18,935,273,05/02/2024
12,1796,648,11/18/2024
3,3326,707,03/08/2024
15,3591,125,09/21/2024
15,4813,677,02/14/2024
8,4339,784,06/17/2024
3,2657,861,08/01/2024
15,90,305,07/12/2024
2,3081,805,04/05/2024
7,4747,391,03/14/2024
4,908,614,12/19/2024
12,14,621,01/16/2024
9,3706,510,05/30/2024
12,3724,649,12/01/2024
7,3473,904,05/15/2024
15,797,210,08/16/2024
15,2892,781,11/29/2024
7,2416,838,07/22/2024
5,4720,753,04/28/2024
19,2183,462,05/18/2024
5,1593,224,01/22/2024
13,479,371,04/14/2024
15,2872,287,12/05/2024
17,3549,753,09/24/2024
9,2452,47,07/15/2024
12,1448,238,06/05/2024
7,2126,32,08/18/2024
9,460,774,10/30/2024
5,3162,86,04/17/2024
13,3125,469,07/03/2024
1,4292,894,04/27/2024
19,4397,290,07/12/2024
6,4046,813,02/11/2024
2,2109,590,02/27/2024
13,3945,534,10/13/2024
8,877,629,07/13/2024
4,3845,488,04/16/2024
9,2130,222,07/18/2024
13,1257,836,04/20/2024
8,1349,281,08/29/2024
12,41,574,11/26/2024
12,960,78,07/22/2024
9,3701,9,10/24/2024
16,1160,940,02/21/2024
3,4997,280,12/13/2024
14,2199,656,07/25/2024
12,4405,112,06/28/2024
5,1160,193,08/03/2024
8,582,90,07/26/2024
12,3840,820,02/07/2024
11,1458,949,04/17/2024
9,2432,843,08/19/2024
9,4846,158,05/24/2024
3,3101,349,12/17/2024
8,51,783,12/08/2024
18,3459,799,08/04/2024
7,1378,291,06/28/2024
12,2627,293,07/08/2024
9,4901,781,10/22/2024
12,3689,479,01/26/2024
7,3268,692,05/11/2024
7,39,905,12/28/2024
11,3507,947,01/16/2024
15,905,298,06/21/2024
8,1164,185,10/13/2024
17,140,708,04/30/2024
11,714,577,07/19/2024
6,325,912,04/22/2024
18,2876,270,10/10/2024
1,25,828,08/02/2024
3,3127,425,01/29/2024
19,1775,429,09/01/2024
6,3056,866,09/26/2024
15,1125,166,07/02/2024
14,2306,321,12/23/2024
19,2219,374,06/30/2024
7,4540,626,05/27/2024
2,4253,534,07/11/2024
15,3266,520,12/21/2024
9,1134,904,01/28/2024
11,2999,560,12/25/2024
7,3200,5,01/29/2024
13,1095,292,01/06/2024
11,3698,776,09/15/2024
5,61,306,04/02/2024
5,4478,430,01/22/2024
19,3071,484,10/05/2024
4,236,370,12/18/2024
10,2574,586,10/14/2024
9,973,346,09/18/2024
12,1501,862,04/23/2024
11,4519,296,12/27/2024
15,4248,188,03/31/2024
11,4994,359,01/27/2024
15,4733,989,10/27/2024
7,121,716,03/17/2024
7,4403,154,07/10/2024
11,1460,742,08/05/2024
3,1487,834,01/26/2024
13,4651,737,06/05/2024
7,4106,908,09/24/2024
4,3715,802,09/18/2024
16,645,546,05/25/2024
8,1904,64,02/28/2024
5,2480,426,08/29/2024
6,4333,184,11/18/2024
1,887,104,12/14/2024
1,3874,750,06/01/2024
14,1499,309,03/22/2024
18,3406,916,03/06/2024
3,2473,382,01/04/2024
16,4400,556,02/02/2024
14,4485,72,01/14/2024
1,2716,782,11/23/2024
8,4576,774,09/29/2024
3,4233,365,12/05/2024
9,3298,708,04/26/2024
18,2148,504,11/21/2024
16,1747,264,02/28/2024
8,4820,811,08/14/2024
3,220,417,09/01/2024
3,4848,720,01/09/2024
5,3350,995,02/20/2024
15,3612,267,08/09/2024
8,512,250,02/15/2024
2,1523,149,07/24/2024
4,2270,803,06/27/2024
17,2632,559,04/23/2024
15,2247,531,06/30/2024
14,4133,608,08/30/2024
13,2634,59,08/08/2024
16,4119,471,04/06/2024
5,434,370,11/23/2024
10,1218,895,04/08/2024
10,1902,109,12/12/2024
17,2184,98,10/02/2024
18,4251,715,12/17/2024
13,3331,779,03/16/2024
7,1554,62,03/16/2024
17,2593,489,12/29/2024
5,3600,810,03/20/2024
4,2884,881,10/16/2024
8,4844,650,10/05/2024
5,2166,337,09/23/2024
12,4530,421,03/07/2024
14,380,492,05/31/2024
15,4492,444,02/22/2024
1,2395,848,06/24/2024
12,4600,557,09/01/2024
3,2128,679,03/17/2024
3,3111,413,08/03/2024
10,325,959,02/10/2024
19,3246,726,04/01/2024
16,1909,610,11/02/2024
15,3104,262,05/16/2024
12,962,966,05/30/2024
6,3673,731,04/25/2024
5,946,199,10/11/2024
1,1324,56,04/04/2024
13,4804,73,04/01/2024
6,172,994,01/19/2024
18,834,164,07/27/2024
10,3610,726,10/16/2024
6,3927,301,06/25/2024
19,4782,598,10/26/2024
8,3283,318,11/30/2024
8,3152,209,07/26/2024
19,1928,175,05/16/2024
5,4112,995,09/21/2024
13,1047,167,05/10/2024
18,1509,559,07/22/2024
5,506,635,02/07/2024
10,1994,980,08/09/2024
14,1667,592,02/01/2024
13,4404,533,11/08/2024
5,4417,693,02/17/2024
1,3382,835,12/04/2024
14,1054,417,05/13/2024
3,4334,857,07/18/2024
13,2621,567,12/27/2024
2,4516,980,10/06/2024
10,4322,347,05/16/2024
3,1766,483,10/17/2024
12,2219,651,09/20/2024
14,948,292,03/25/2024
8,1331,340,06/18/2024
4,1863,920,08/18/2024
18,2222,570,08/16/2024
3,736,38,11/23/2024
14,2584,503,11/19/2024
3,3636,657,05/07/2024
16,4025,68,08/27/2024
12,1180,822,11/04/2024
11,2579,43,11/21/2024
10,1956,563,06/01/2024
6,3251,126,07/23/2024
5,1500,665,06/21/2024
5,2177,873,05/05/2024
17,2343,923,05/04/2024
11,4146,581,05/11/2024
2,3938,451,05/16/2024
3,864,6,10/05/2024
17,4287,979,08/21/2024
4,731,3,08/28/2024
19,4471,350,06/11/2024
18,4995,184,03/08/2024
6,2246,728,02/12/2024
10,764,845,02/16/2024
5,2994,809,08/24/2024
3,3448,108,07/20/2024
1,3858,419,03/02/2024
10,2990,285,05/27/2024
7,3786,829,03/31/2024
3,917,278,01/16/2024
18,457,919,11/24/2024
2,3555,856,11/11/2024
8,2240,948,09/06/2024
2,365,172,08/22/2024
7,4498,781,08/09/2024
19,96,319,10/11/2024
10,2105,426,03/26/2024
7,4426,921,01/26/2024
5,1349,266,05/01/2024
1,3213,154,07/22/2024
6,2642,739,11/01/2024
4,4550,359,04/21/2024
1,3052,240,07/13/2024
2,878,39,07/31/2024
1,3300,410,08/02/2024
18,1852,234,04/13/2024
1,3174,707,01/18/2024
14,1378,381,01/12/2024
19,2598,41,05/18/2024
8,2413,80,02/26/2024
17,3369,508,12/24/2024
3,1990,781,01/05/2024
11,741,613,10/03/2024
9,2959,215,08/11/2024
6,339,239,01/12/2024
13,1185,282,12/08/2024
17,30,859,09/23/2024
19,435,650,03/20/2024
14,1090,855,05/03/2024
12,1598,579,06/01/2024
1,4297,478,03/05/2024
15,4522,661,12/30/2024
1,2058,378,05/20/2024
9,2070,980,06/05/2024
12,3779,333,04/23/2024
17,1780,854,09/22/2024
1,630,490,12/15/2024
3,4385,923,10/18/2024
1,941,210,02/18/2024
2,1485,996,05/14/2024
10,3575,594,04/13/2024
12,3080,384,09/19/2024
14,3282,139,06/20/2024
15,4964,207,01/17/2024
18,3094,28,07/30/2024
9,3272,796,11/24/2024
18,2266,168,05/10/2024
14,1390,150,12/06/2024
7,787,214,07/28/2024
6,4776,685,04/10/2024
2,3291,407,09/13/2024
9,1670,192,11/25/2024
13,1045,765,10/23/2024
14,2167,825,06/02/2024
19,3664,204,09/20/2024
17,3500,138,05/04/2024
4,3062,113,01/24/2024
1,4705,855,10/22/2024
10,263,933,10/29/2024
4,3930,82,03/22/2024
17,4138,701,02/28/2024
16,66,508,02/04/2024
19,3008,101,03/09/2024
15,4569,584,02/20/2024
7,461,205,07/26/2024
17,600,360,02/09/2024
17,3434,121,03/20/2024
15,2240,913,06/15/2024
4,1475,414,01/17/2024
13,4095,434,11/02/2024
6,2389,660,08/16/2024
17,1734,104,10/06/2024
13,4264,193,06/08/2024
18,2729,680,05/11/2024
17,2757,842,09/20/2024
11,4553,806,04/16/2024
12,1915,591,08/14/2024
11,2627,20,01/23/2024
13,1152,122,10/25/2024
7,3420,239,10/27/2024
1,2428,977,03/09/2024
1,4685,380,01/01/2024
1,1483,245,02/10/2024
1,365,508,11/12/2024
8,10,31,05/13/2024
7,13,874,12/28/2024
11,463,393,01/13/2024
12,899,733,09/29/2024
16,339,68,10/31/2024
10,1154,847,06/09/2024
7,4458,586,07/11/2024
18,4394,330,10/04/2024
18,528,655,03/11/2024
13,2372,516,11/23/2024
3,2259,420,05/20/2024
19,4210,336,07/14/2024
19,3213,360,01/18/2024
16,2588,66,11/07/2024
6,1900,186,10/12/2024
5,2746,42,09/10/2024
6,2018,754,07/09/2024
18,262,601,09/10/2024
6,4148,575,06/30/2024
17,1262,594,10/13/2024
18,2522,137,09/20/2024
11,30,652,01/28/2024
12,727,870,12/13/2024
15,2603,441,04/08/2024
1,4828,291,08/27/2024
5,4640,102,02/22/2024
10,3366,112,01/22/2024
12,3961,156,04/02/2024
15,2679,232,06/25/2024
17,3879,710,10/27/2024
4,685,949,03/10/2024
9,2169,562,09/24/2024
12,430,498,09/22/2024
18,1782,185,06/12/2024
15,1530,916,05/24/2024
12,4605,880,07/23/2024
17,1955,823,07/18/2024
2,3112,721,11/13/2024
18,1919,796,02/02/2024
7,4414,163,12/29/2024
19,2016,168,10/11/2024
12,2757,319,02/03/2024
18,1937,439,02/07/2024
16,752,215,10/31/2024
7,3476,913,03/19/2024
6,2000,510,04/19/2024
1,1492,96,08/07/2024
8,3677,740,10/24/2024
13,1417,57,01/07/2024
5,2810,716,03/24/2024
9,4310,242,10/18/2024
6,582,605,01/03/2024
7,2787,713,06/01/2024
5,1702,920,08/20/2024
17,1832,309,04/15/2024
10,3580,519,05/20/2024
19,621,644,09/18/2024
7,3188,279,02/11/2024
1,1762,49,04/04/2024
18,973,943,12/16/2024
8,2953,150,03/05/2024
6,1658,738,06/20/2024
1,3127,658,07/04/2024
5,4006,474,02/29/2024
18,1112,111,11/26/2024
3,1835,29,09/13/2024
18,4460,580,06/28/2024
9,1534,219,08/24/2024
13,4897,985,09/23/2024
4,3497,521,06/13/2024
8,4778,130,04/14/2024
17,1977,459,12/06/2024
7,1800,420,08/24/2024
18,2490,815,01/06/2024
11,4188,523,02/16/2024
18,4104,466,06/07/2024
4,2734,138,06/05/2024
3,4882,943,08/07/2024
11,1693,89,12/09/2024
8,4853,446,10/14/2024
7,4625,881,04/12/2024
4,4627,497,09/29/2024
9,3930,623,12/15/2024
7,3524,48,05/21/2024
7,2638,998,12/16/2024
6,4034,737,12/06/2024
1,3811,655,04/23/2024
4,2957,68,02/15/2024
4,676,876,03/21/2024
9,365,460,11/10/2024
2,4419,419,04/13/2024
11,1697,12,05/24/2024
7,1931,918,02/12/2024
2,4945,837,07/27/2024
13,958,797,09/03/2024
14,3088,354,02/09/2024
8,2202,201,04/02/2024
7,2753,152,10/10/2024
10,1503,776,10/03/2024
3,4151,233,11/14/2024
11,1400,881,01/07/2024
19,4427,13,12/20/2024
9,3964,262,03/22/2024
2,3943,919,10/18/2024
12,2414,385,02/16/2024
3,4435,903,12/05/2024
11,4532,950,07/04/2024
12,957,971,12/23/2024
6,1995,325,11/27/2024
3,4826,394,04/21/2024
10,2515,711,07/17/2024
16,1415,287,06/15/2024
6,4980,101,01/19/2024
13,3855,611,06/21/2024
18,2666,717,01/28/2024
17,4498,737,06/21/2024
18,1947,994,12/10/2024
18,3295,208,05/21/2024
14,2525,734,09/16/2024
7,2407,618,12/18/2024
14,2044,292,09/26/2024
14,1704,738,11/11/2024
14,344,599,07/27/2024
6,1802,593,03/20/2024
1,943,944,02/15/2024
9,4542,263,04/15/2024
12,4128,731,03/17/2024
10,4773,592,09/13/2024
14,4428,505,03/25/2024
1,3616,240,11/27/2024
14,3545,239,04/16/2024
11,4970,733,03/16/2024
11,4150,429,01/29/2024
5,1486,956,11/23/2024
8,1686,672,11/11/2024
8,3839,204,07/08/2024
15,621,111,01/12/2024
4,931,120,04/27/2024
4,738,564,06/25/2024
17,598,926,04/11/2024
18,4895,29,10/23/2024
1,1994,708,03/18/2024
15,12,320,06/13/2024
19,4668,275,08/28/2024
18,4048,792,03/10/2024
5,915,213,11/18/2024
10,3321,25,10/01/2024
15,4532,862,09/12/2024
15,3536,443,07/31/2024
15,1620,954,08/29/2024
15,651,848,06/17/2024
18,2906,554,05/05/2024
4,4765,956,10/15/2024
11,3813,597,06/14/2024
13,4668,273,10/24/2024
4,2904,926,11/05/2024
9,150,930,07/04/2024
6,1499,985,03/24/2024
19,4232,933,09/01/2024
17,3859,668,01/22/2024
13,4305,647,03/18/2024
9,2336,747,03/12/2024
12,2990,583,11/17/2024
4,3774,994,04/23/2024
19,3360,916,09/30/2024
11,554,842,11/18/2024
4,4764,110,04/24/2024
14,3514,357,12/27/2024
19,4377,116,04/29/2024
4,4333,294,02/04/2024
11,2078,898,02/16/2024
19,2350,674,09/19/2024
19,2384,210,03/28/2024
18,4572,611,11/28/2024
5,4737,36,12/21/2024
16,2258,646,08/18/2024
9,3489,909,12/09/2024
13,2808,198,07/10/2024
18,1539,588,11/05/2024
14,4031,609,11/05/2024
9,465,637,11/25/2024
2,550,915,10/18/2024
15,3943,530,09/08/2024
9,4369,163,08/20/2024
18,1594,69,10/27/2024
18,517,753,07/14/2024
4,1081,191,12/15/2024
14,3142,250,03/16/2024
15,2884,589,07/17/2024
11,2898,978,02/19/2024
13,4930,930,06/12/2024
3,1485,595,08/05/2024
17,4059,137,04/16/2024
10,4510,838,08/04/2024
5,2835,108,01/20/2024
9,2981,124,05/29/2024
6,3923,293,08/09/2024
13,737,218,12/07/2024
17,3578,992,01/02/2024
1,4157,722,04/07/2024
5,564,908,04/07/2024
14,2516,11,01/31/2024
7,375,504,08/11/2024
10,1444,342,04/15/2024
7,3440,935,02/24/2024
9,548,466,11/29/2024
17,1075,353,03/13/2024
14,3876,202,09/04/2024
1,2843,673,05/15/2024
13,1985,481,11/10/2024
16,4000,433,05/01/2024
16,3793,266,03/14/2024
4,960,55,02/19/2024
13,3012,700,12/12/2024
16,817,505,05/15/2024
5,2176,870,06/09/2024
14,1922,208,05/05/2024
13,1727,107,07/11/2024
14,4045,589,05/09/2024
12,603,279,08/23/2024
6,4015,590,07/12/2024
1,3531,876,02/06/2024
15,2259,893,10/20/2024
6,4917,912,06/08/2024
18,2099,279,06/15/2024
15,3193,120,12/02/2024
7,1883,697,12/16/2024
11,1115,736,05/12/2024
4,606,417,01/28/2024
1,779,978,04/17/2024
8,3390,593,09/14/2024
3,4127,46,04/03/2024
14,3040,881,09/21/2024
12,2547,512,08/06/2024
1,3787,346,01/07/2024
2,87,766,01/05/2024
3,107,75,09/22/2024
1,3644,998,11/26/2024
1,41,864,06/30/2024
5,1957,10,02/19/2024
4,3336,145,11/13/2024
5,1330,253,09/28/2024
12,2038,729,11/14/2024
17,616,876,08/18/2024
18,2807,838,11/17/2024
9,1956,206,09/26/2024
6,2564,744,05/14/2024
3,4472,426,06/26/2024
12,3989,857,03/14/2024
10,1012,216,10/22/2024
1,1262,329,07/08/2024
9,2616,838,12/14/2024
9,4614,854,04/30/2024
9,440,457,03/31/2024
4,2698,846,12/14/2024
7,1860,529,09/05/2024
7,369,760,01/31/2024
15,2282,405,02/19/2024
3,4676,740,09/13/2024
7,4676,407,06/22/2024
14,2367,417,11/09/2024
10,4467,655,02/13/2024
9,4728,741,03/07/2024
5,3478,603,09/17/2024
11,3081,537,06/12/2024
8,3881,379,11/25/2024
13,4549,584,11/09/2024
11,206,387,02/11/2024
4,3168,731,05/14/2024
14,1595,860,02/14/2024
9,4028,172,06/26/2024
14,25,975,04/18/2024
10,4570,879,06/16/2024
9,2216,720,10/28/2024
15,4371,945,06/13/2024
18,1219,786,05/31/2024
5,4510,651,01/09/2024
6,1251,577,11/12/2024
2,1083,178,12/04/2024
2,4939,823,12/08/2024
8,2230,710,08/19/2024
1,568,673,01/15/2024
4,3213,970,02/05/2024
3,71,274,06/04/2024
15,3915,137,05/29/2024
18,1183,231,12/10/2024
17,2383,95,10/02/2024
11,2242,712,06/19/2024
3,4612,501,08/27/2024
19,4655,241,09/25/2024
16,2745,338,07/15/2024
5,2586,451,03/23/2024
6,1077,911,02/19/2024
11,2862,507,12/23/2024
16,1616,479,02/01/2024
7,896,153,10/25/2024
15,2136,557,03/31/2024
5,1869,558,08/02/2024
17,2328,489,08/14/2024
2,2607,304,07/24/2024
10,1273,924,11/22/2024
7,4810,655,05/27/2024
18,3049,404,03/07/2024
15,4094,900,02/27/2024
6,674,647,03/06/2024
16,4749,686,01/31/2024
17,2684,148,01/17/2024
19,898,413,07/24/2024
18,550,855,10/11/2024
5,2674,288,08/10/2024
11,1434,58,03/11/2024
13,357,22,02/20/2024
5,1329,806,05/15/2024
7,4653,213,09/05/2024
6,2561,689,04/20/2024
5,719,23,10/23/2024
9,3764,923,12/17/2024
7,2440,749,06/19/2024
10,350,354,01/09/2024
1,2417,664,02/05/2024
13,4743,434,03/20/2024
4,1662,222,09/30/2024
15,4555,525,03/20/2024
14,4302,279,07/14/2024
6,4735,592,02/03/2024
19,4269,57,03/19/2024
2,751,193,06/23/2024
2,4608,215,05/27/2024
16,2033,670,03/16/2024
5,3687,674,04/20/2024
16,514,524,04/11/2024
17,4306,365,04/29/2024
5,287,556,12/23/2024
5,1464,497,07/16/2024
6,1468,854,09/13/2024
8,2141,332,01/27/2024
4,2894,807,12/06/2024
15,2539,780,09/12/2024
13,1243,0,08/09/2024
14,522,610,09/28/2024
2,1641,354,10/11/2024
1,1817,942,07/21/2024
18,139,289,10/02/2024
8,1051,848,03/27/2024
5,259,971,09/03/2024
3,1001,628,12/11/2024
8,1864,414,08/16/2024
8,3552,445,03/30/2024
5,2132,583,08/23/2024
3,4448,932,05/14/2024
13,2063,407,09/08/2024
19,3753,11,06/26/2024
5,132,981,01/24/2024
7,1761,290,02/22/2024
11,863,34,09/03/2024
2,534,440,05/11/2024
2,2061,299,10/11/2024
16,3888,654,12/01/2024
3,3215,738,12/06/2024
17,422,354,06/23/2024
